,bus_id,x,y,average_marginal_price,max_marginal_price,total_load_shedding_mwh,max_load_shedding_mw,worst_shedding_snapshot,scenario,wind_condition,transmission_setting
12812,DE0 148 battery,8.2592751,47.63413338,98737.32528849486,98737.33376065221,0.12184588473336977,0.005076944584480821,2025-04-08 23:00:00,scenario1,notwindy,fixed
12813,DE0 191 battery,8.6807188,51.9968419,98737.4261608045,98737.43360061049,0.12172958552283121,0.005072105520143947,2025-04-08 02:00:00,scenario1,notwindy,fixed
12814,DE0 150 battery,8.65613347,50.60581839,98736.84716853227,98736.85560467205,0.12166166904519254,0.005069271523853567,2025-04-08 23:00:00,scenario1,notwindy,fixed
12815,DE0 89 battery,8.93289828,52.19312945,98735.44312633244,98735.45058153837,0.12159134662873891,0.005066336806361144,2025-04-08 00:00:00,scenario1,notwindy,fixed
12816,DE0 189 battery,8.81054997,50.20378307,98735.83135282081,98735.83987431026,0.12154769564747586,0.005064523407781022,2025-04-08 23:00:00,scenario1,notwindy,fixed
12817,DE0 1 battery,9.25949541,51.06137445,98735.15556296916,98735.16410374224,0.12148595793778835,0.005061949318143865,2025-04-08 22:00:00,scenario1,notwindy,fixed
12818,DE0 52 battery,8.70215899,51.73634908,98734.64568127958,98734.65329468125,0.12143193291632658,0.005059693152810975,2025-04-08 00:00:00,scenario1,notwindy,fixed
12819,DE0 435 battery,8.65905394,51.99946498,98731.27319545159,98731.2806956203,0.12112219716927262,0.005046804535701206,2025-04-08 02:00:00,scenario1,notwindy,fixed
12820,DE0 343 battery,8.98948512,50.060246,98731.27630850843,98731.28524255953,0.1210827790537982,0.005045153880122706,2025-04-08 23:00:00,scenario1,notwindy,fixed
12821,DE0 6 battery,8.5718786,52.10515165,98729.53418031405,98729.54144628078,0.12094106030518073,0.005039238182633165,2025-04-08 00:00:00,scenario1,notwindy,fixed
12822,DE0 11 battery,10.35713549,52.17604952,98725.34830780071,98725.35784397958,0.12063380137656884,0.005026444694820336,2025-04-08 23:00:00,scenario1,notwindy,fixed
12823,DE0 113 battery,8.95882952,50.08272666,98725.92490572405,98725.93430840255,0.12059331030228115,0.005024760681936386,2025-04-08 23:00:00,scenario1,notwindy,fixed
12824,DE0 103 battery,9.42495466,48.06441465,98721.1315693092,98721.14150623063,0.12035092113893016,0.005014657249467586,2025-04-08 23:00:00,scenario1,notwindy,fixed
12825,DE0 110 battery,9.51385083,51.25893407,98721.84456483398,98721.85431221429,0.12022607271317196,0.005009456566645976,2025-04-08 23:00:00,scenario1,notwindy,fixed
12826,DE0 67 battery,10.09297042,52.31836078,98718.1323021578,98718.14247768896,0.11996708344646642,0.004998670528688668,2025-04-08 23:00:00,scenario1,notwindy,fixed
12827,DE0 266 battery,9.91714823,52.27818936,98718.13715391578,98718.1473229631,0.11994330604395673,0.004997675697855967,2025-04-08 23:00:00,scenario1,notwindy,fixed
12828,DE0 167 battery,9.91827273,52.38018554,98717.6157706838,98717.62602887042,0.11993247533132373,0.0049972282032727435,2025-04-08 23:00:00,scenario1,notwindy,fixed
12829,DE0 298 battery,10.23596137,52.29321573,98717.30277267518,98717.31300858056,0.11986410833298577,0.004994378717583569,2025-04-08 00:00:00,scenario1,notwindy,fixed
12830,DE0 420 battery,9.41102321,52.03389594,98718.08650466352,98718.09668422998,0.1198634294552365,0.0049943491175276356,2025-04-08 22:00:00,scenario1,notwindy,fixed
12831,DE0 138 battery,9.39015373,52.02667139,98718.04777963921,98718.05795651265,0.11986089620821402,0.00499424360766878,2025-04-08 22:00:00,scenario1,notwindy,fixed
12832,DE0 194 battery,9.22800406,51.81257532,98717.94222789281,98717.95239275623,0.11985337408646343,0.004993930510562654,2025-04-08 22:00:00,scenario1,notwindy,fixed
12833,DE0 76 battery,9.38769546,51.6404901,98717.87719783734,98717.88735163356,0.11985125526352482,0.004993839365221138,2025-04-08 23:00:00,scenario1,notwindy,fixed
12834,DE0 415 battery,9.58562544,51.33165459,98717.72290255687,98717.73302791602,0.11984143931473593,0.004993432695393576,2025-04-08 23:00:00,scenario1,notwindy,fixed
12835,DE0 255 battery,9.56724172,51.32522391,98717.75833338937,98717.768453612,0.11983432710343142,0.0049931350978278085,2025-04-08 23:00:00,scenario1,notwindy,fixed
12836,DE0 65 battery,9.5679286,49.8206828,98715.4927088576,98715.5030694875,0.11950642391321707,0.004979475150226703,2025-04-08 23:00:00,scenario1,notwindy,fixed
12837,DE0 33 battery,9.77402449,50.52884554,98712.92126803781,98712.93180077168,0.1193788398586414,0.004974159732847472,2025-04-08 23:00:00,scenario1,notwindy,fixed
12838,DE0 360 battery,10.419549,52.23696969,98708.23140925309,98708.24246704155,0.11902385642958938,0.004959367337615783,2025-04-08 21:00:00,scenario1,notwindy,fixed
12839,DE0 35 battery,9.08981831,49.96859322,98703.60137547285,98703.61280166196,0.11864358621478077,0.004943528216462148,2025-04-08 23:00:00,scenario1,notwindy,fixed
12840,DE0 131 battery,9.74603333,50.91755925,98704.38624743266,98704.39751568658,0.11861231727176062,0.004942223217479889,2025-04-08 22:00:00,scenario1,notwindy,fixed
12841,DE0 374 battery,7.6372691,51.8886873,98702.73120326623,98702.73756403103,0.11846989463441804,0.004936272142341958,2025-04-08 03:00:00,scenario1,notwindy,fixed
12842,DE0 53 battery,9.85307246,51.6497875,98702.02485156366,98702.036345311,0.11844517375239322,0.004935260078871982,2025-04-08 23:00:00,scenario1,notwindy,fixed
12843,DE0 327 battery,9.92627718,51.88199171,98699.64809228825,98699.65984567664,0.1182327424141692,0.0049264059668096185,2025-04-08 23:00:00,scenario1,notwindy,fixed
12844,DE0 183 battery,9.98886296,51.95433621,98698.85442272709,98698.86626856617,0.11815993175484243,0.004923372316246167,2025-04-08 23:00:00,scenario1,notwindy,fixed
12845,DE0 241 battery,10.19522165,52.07984644,98697.14069341919,98697.1527209023,0.11801351933557891,0.004917273071914419,2025-04-08 23:00:00,scenario1,notwindy,fixed
12846,DE0 322 battery,10.25161325,52.16939863,98696.31154416372,98696.32366897263,0.11793677839227382,0.0049140737546685305,2025-04-08 23:00:00,scenario1,notwindy,fixed
12847,DE0 397 battery,10.1846439,52.3052655,98695.98058295985,98695.99276166284,0.11789346170296863,0.004912274450447872,2025-04-08 00:00:00,scenario1,notwindy,fixed
12848,DE0 202 battery,10.3661614,52.28451549,98695.15618872037,98695.16844284888,0.11783633922283887,0.004909893570172576,2025-04-08 00:00:00,scenario1,notwindy,fixed
12849,DE0 54 battery,9.64536754,47.74474595,98689.21995234904,98689.23294228983,0.11752382952110191,0.004896872026825626,2025-04-08 23:00:00,scenario1,notwindy,fixed
12850,DE0 82 battery,10.38140943,52.99343254,98692.9735958345,98692.98602014476,0.11749543378830733,0.004895691004483101,2025-04-08 23:00:00,scenario1,notwindy,fixed
12851,DE0 186 battery,10.37874297,53.2194322,98692.23308127608,98692.24555986589,0.11737606077654325,0.004890717471691385,2025-04-08 23:00:00,scenario1,notwindy,fixed
12852,DE0 161 battery,10.41387335,53.41293643,98691.54037815693,98691.55290541728,0.11726545365899596,0.004886108144025951,2025-04-08 23:00:00,scenario1,notwindy,fixed
12853,DE0 4 battery,10.16044703,53.55514418,98689.72938249206,98689.7376048248,0.11723115193490717,0.0048846626995657305,2025-04-08 01:00:00,scenario1,notwindy,fixed
12854,DE0 97 battery,9.90890682,53.48828803,98689.26552044366,98689.27387473542,0.11720548918322189,0.004883593899014519,2025-04-08 01:00:00,scenario1,notwindy,fixed
