line_id,bus0,bus1,number_of_networks_congested,list_of_networks_congested,average_loading_across_networks,maximum_loading_across_networks,min_loading_across_networks,loading_change_vs_fixed,line_length,carrier,bus0_x,bus0_y,country,x_coordinate,y_coordinate
377,DE0 242,DE0 99,1,scenario2040-ext_windvariability_extendable,64.31,64.31,64.31,,34.240253714796076,AC,8.7530299,49.3096261,DE,,
339,DE0 222,DE0 87,1,scenario2040-ext_windvariability_extendable,64.31,64.31,64.31,,53.89079656507146,AC,8.41893027,49.63345581,DE,,
6,DE0 0,DE0 83,1,scenario2040-ext_notwindy_extendable,64.18,64.18,64.18,,35.08734141316143,AC,10.8429296,49.37820092,DE,,
526,DE0 334,DE0 376,1,scenario2040-ext_windvariability_extendable,64.08,64.08,64.08,,12.74663395471331,AC,7.17172433,51.55481363,DE,,
458,DE0 285,DE0 382,1,scenario2040-ext_windvariability_extendable,63.96,63.96,63.96,,6.536760597575565,AC,6.9109967,51.1176623,DE,,
548,DE0 353,DE0 49,1,scenario2040-ext_windvariability_extendable,63.95,63.95,63.95,,6.634288015120826,AC,7.9695049,50.9541103,DE,,
412,DE0 264,DE0 339,1,scenario2040-ext_windvariability_extendable,63.93,63.93,63.93,,3.8408398298292865,AC,7.13599229,51.41709824,DE,,
236,DE0 18,DE0 306,1,scenario2040-ext_windvariability_extendable,63.93,63.93,63.93,,5.466496391136092,AC,6.71457229,51.52657465,DE,,
415,DE0 265,DE0 306,1,scenario2040-ext_windvariability_extendable,63.88,63.88,63.88,,9.691451353557499,AC,6.92567474,51.49885777,DE,,
494,DE0 308,DE0 431,1,scenario2040-ext_windvariability_extendable,63.86,63.86,63.86,,10.353652907171856,AC,8.1006391,50.8710004,DE,,
559,DE0 363,DE0 416,1,scenario2040-ext_windvariability_extendable,63.84,63.84,63.84,,6.331571582493929,AC,7.12615705,51.44927275,DE,,
456,DE0 285,DE0 301,1,scenario2040-ext_windvariability_extendable,63.82,63.82,63.82,,9.215554873413778,AC,6.9109967,51.1176623,DE,,
143,DE0 144,DE0 213,1,scenario2040-ext_windvariability_extendable,63.81,63.81,63.81,,10.528686411190728,AC,7.02349274,50.99907233,DE,,
